Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,126014024,61473390,64540634
Estados Unidos Mexicanos,0 a 4 años,10047365,5077482,4969883
Estados Unidos Mexicanos,5 a 9 años,10764379,5453091,5311288
Estados Unidos Mexicanos,10 a 14 años,10943540,5554260,5389280
Estados Unidos Mexicanos,15 a 19 años,10806690,5462150,5344540
Estados Unidos Mexicanos,20 a 24 años,10422095,5165884,5256211
Estados Unidos Mexicanos,25 a 29 años,9993001,4861404,5131597
Estados Unidos Mexicanos,30 a 34 años,9420827,4527726,4893101
Estados Unidos Mexicanos,35 a 39 años,9020276,4331530,4688746
Estados Unidos Mexicanos,40 a 44 años,8503586,4062304,4441282
Estados Unidos Mexicanos,45 a 49 años,7942413,3812344,4130069
Estados Unidos Mexicanos,50 a 54 años,7037532,3332163,3705369
Estados Unidos Mexicanos,55 a 59 años,5695958,2692976,3002982
Estados Unidos Mexicanos,60 a 64 años,4821062,2257862,2563200
Estados Unidos Mexicanos,65 a 69 años,3645077,1706850,1938227
Estados Unidos Mexicanos,70 a 74 años,2647340,1233492,1413848
Estados Unidos Mexicanos,75 a 79 años,1814582,847898,966684
Estados Unidos Mexicanos,80 a 84 años,1175364,523812,651552
Estados Unidos Mexicanos,85 a 89 años,659245,283351,375894
Estados Unidos Mexicanos,90 a 94 años,266806,107358,159448
Estados Unidos Mexicanos,95 a 99 años,95205,36615,58590
Estados Unidos Mexicanos,100 años y más,18295,6644,11651
Estados Unidos Mexicanos,No especificado,273386,136194,137192
Aguascalientes,Total,1425607,696683,728924
Aguascalientes,0 a 4 años,124430,62978,61452
Aguascalientes,5 a 9 años,131048,66359,64689
Aguascalientes,10 a 14 años,129717,66080,63637
Aguascalientes,15 a 19 años,131967,66903,65064
Aguascalientes,20 a 24 años,127020,63154,63866
Aguascalientes,25 a 29 años,118426,58141,60285
Aguascalientes,30 a 34 años,106825,51651,55174
Aguascalientes,35 a 39 años,99257,47774,51483
Aguascalientes,40 a 44 años,92378,43839,48539
Aguascalientes,45 a 49 años,84669,40163,44506
Aguascalientes,50 a 54 años,74121,34611,39510
Aguascalientes,55 a 59 años,58865,27608,31257
Aguascalientes,60 a 64 años,48306,22435,25871
Aguascalientes,65 a 69 años,35823,16698,19125
Aguascalientes,70 a 74 años,25586,11782,13804
Aguascalientes,75 a 79 años,16581,7739,8842
Aguascalientes,80 a 84 años,10186,4397,5789
Aguascalientes,85 a 89 años,5576,2360,3216
Aguascalientes,90 a 94 años,2410,942,1468
Aguascalientes,95 a 99 años,796,284,512
Aguascalientes,100 años y más,112,36,76
Aguascalientes,No especificado,1508,749,759
Baja California,Total,3769020,1900589,1868431
Baja California,0 a 4 años,266301,134410,131891
Baja California,5 a 9 años,299654,152609,147045
Baja California,10 a 14 años,312348,159306,153042
Baja California,15 a 19 años,315639,161298,154341
Baja California,20 a 24 años,340359,173450,166909
Baja California,25 a 29 años,328244,166250,161994
Baja California,30 a 34 años,302389,152164,150225
Baja California,35 a 39 años,292069,148169,143900
Baja California,40 a 44 años,273611,138332,135279
Baja California,45 a 49 años,260844,134187,126657
Baja California,50 a 54 años,221388,112789,108599
Baja California,55 a 59 años,168653,84778,83875
Baja California,60 a 64 años,134022,65287,68735
Baja California,65 a 69 años,94704,44982,49722
Baja California,70 a 74 años,65425,30812,34613
Baja California,75 a 79 años,40874,18833,22041
Baja California,80 a 84 años,25204,11060,14144
Baja California,85 a 89 años,12451,5277,7174
Baja California,90 a 94 años,4858,1897,2961
Baja California,95 a 99 años,1512,522,990
Baja California,100 años y más,252,81,171
Baja California,No especificado,8219,4096,4123
Baja California Sur,Total,798447,405879,392568
Baja California Sur,0 a 4 años,62455,31479,30976
Baja California Sur,5 a 9 años,66933,33962,32971
Baja California Sur,10 a 14 años,67665,34455,33210
Baja California Sur,15 a 19 años,65469,33788,31681
Baja California Sur,20 a 24 años,66743,34418,32325
Baja California Sur,25 a 29 años,68798,35046,33752
Baja California Sur,30 a 34 años,67779,34653,33126
Baja California Sur,35 a 39 años,64927,33289,31638
Baja California Sur,40 a 44 años,59389,30390,28999
Baja California Sur,45 a 49 años,51771,26718,25053
Baja California Sur,50 a 54 años,43337,21910,21427
Baja California Sur,55 a 59 años,33731,16905,16826
Baja California Sur,60 a 64 años,27095,13415,13680
Baja California Sur,65 a 69 años,19274,9587,9687
Baja California Sur,70 a 74 años,12545,6165,6380
Baja California Sur,75 a 79 años,8166,3984,4182
Baja California Sur,80 a 84 años,4649,2134,2515
Baja California Sur,85 a 89 años,2556,1165,1391
Baja California Sur,90 a 94 años,936,367,569
Baja California Sur,95 a 99 años,332,118,214
Baja California Sur,100 años y más,55,18,37
Baja California Sur,No especificado,3842,1913,1929
Campeche,Total,928363,456939,471424
Campeche,0 a 4 años,78935,39817,39118
Campeche,5 a 9 años,82015,41624,40391
Campeche,10 a 14 años,80168,41047,39121
Campeche,15 a 19 años,76140,38468,37672
Campeche,20 a 24 años,75556,37277,38279
Campeche,25 a 29 años,72798,35046,37752
Campeche,30 a 34 años,72709,34557,38152
Campeche,35 a 39 años,70275,33611,36664
Campeche,40 a 44 años,64170,30761,33409
Campeche,45 a 49 años,57628,28036,29592
Campeche,50 a 54 años,50254,24392,25862
Campeche,55 a 59 años,40805,19857,20948
Campeche,60 a 64 años,32778,16020,16758
Campeche,65 a 69 años,25796,12530,13266
Campeche,70 a 74 años,17559,8668,8891
Campeche,75 a 79 años,11916,5984,5932
Campeche,80 a 84 años,7536,3718,3818
Campeche,85 a 89 años,4413,2113,2300
Campeche,90 a 94 años,1768,832,936
Campeche,95 a 99 años,701,353,348
Campeche,100 años y más,149,78,71
Campeche,No especificado,4294,2150,2144
Coahuila de Zaragoza,Total,3146771,1563669,1583102
Coahuila de Zaragoza,0 a 4 años,279912,141812,138100
Coahuila de Zaragoza,5 a 9 años,276224,140417,135807
Coahuila de Zaragoza,10 a 14 años,268144,136301,131843
Coahuila de Zaragoza,15 a 19 años,269284,136850,132434
Coahuila de Zaragoza,20 a 24 años,264313,133659,130654
Coahuila de Zaragoza,25 a 29 años,245917,122570,123347
Coahuila de Zaragoza,30 a 34 años,224329,110882,113447
Coahuila de Zaragoza,35 a 39 años,219634,109371,110263
Coahuila de Zaragoza,40 a 44 años,218687,106991,111696
Coahuila de Zaragoza,45 a 49 años,205202,100846,104356
Coahuila de Zaragoza,50 a 54 años,178214,86423,91791
Coahuila de Zaragoza,55 a 59 años,142215,69115,73100
Coahuila de Zaragoza,60 a 64 años,118950,57307,61643
Coahuila de Zaragoza,65 a 69 años,84422,40630,43792
Coahuila de Zaragoza,70 a 74 años,61684,29458,32226
Coahuila de Zaragoza,75 a 79 años,39801,18836,20965
Coahuila de Zaragoza,80 a 84 años,24851,11199,13652
