City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Abohar,0,0,0,0,287.88,0,,,,
Abu Dhabi,0,0,0,0,441.16,0,,,,
Adoni,0,0,0,1,24.18,0,,,,
Badlapur,0,0,0,0,575.12,0,,,,
Barshi,0,0,0,0,128.4,0,,,,
Bilaspur,0,0,0,0,96.07,0,,,,
Budaun,0,0,0,0,307.32,0,,,,
Catonsville,0,0,0,0,776.78,0,,,,
Chandauli,0,0,0,0,68.81,0,,,,
Chhindwara,0,0,0,0,451.61,0,,,,
Chilakaluripet,0,0,0,0,352,0,,,,
Chittoor,0,0,0,0,853.85,0,,,,
Dumka,0,0,0,0,162.5,0,,,,
El Paso,0,0,0,0,456.55,0,,,,
El Segundo,0,0,0,0,474.14,0,,,,
Firozabad,0,0,0,0,522.72,0,,,,
Kanhangad,0,0,1,0,125.42,0,,,,
Kapurthala,0,0,0,0,80.81,0,,,,
Kothamangalam,0,0,0,0,49.47,0,,,,
Mahbubnagar,0,0,0,0,321.06,0,,,,
Mexico City,0,0,0,0,582.8,0,,,,
Moodadi,0,0,0,0,17.41,0,,,,
New Cairo City,0,0,0,0,11.95,0,,,,
Rawang,0,0,0,0,32.8,0,,,,
Rishikesh,0,0,0,0,431.85,0,,,,
Sankhol,0,0,0,0,306.56,0,,,,
Sharjah,0,0,0,0,524.58,0,,,,
Siddipet,0,0,0,0,187.85,0,,,,
Sitapur,0,0,0,0,463.88,0,,,,
Taliparamba,0,0,0,0,44.56,0,,,,
Tandur,0,0,0,0,37.27,0,,,,
Tarn Taran Sahib,0,0,0,0,261.81,0,,,,
Vijayapura,0,0,0,0,1153.79,0,,,,
Kumily,1,2,0,0,54.99,35000,54.99,27.495,200.00%,
Jalna,1,1,0,0,748.25,22500,748.25,748.25,100.00%,
Satna,1,1,1,0,633.44,13000,633.44,633.44,100.00%,
Shamli,1,1,0,0,439.86,18500,439.86,439.86,100.00%,
Tanda Range,1,1,1,0,113.53,8500,113.53,113.53,100.00%,
Hazaribagh,2,1,0,0,518.04,7500,259.02,518.04,50.00%,
Nilje Gaon,2,1,0,0,518.99,14000,259.495,518.99,50.00%,
Rajahmundry,2,1,0,0,603.4,23000,301.7,603.4,50.00%,
Motihari,5,2,0,1,731.85,18500,146.37,365.925,40.00%,
Jagdalpur,6,2,0,0,434,26000,72,217,33.33%,
Bhagalpur,3,1,0,0,772.43,15000,257.476666666667,772.43,33.33%,
Bhilai,3,1,1,1,1274.74,13000,424.913333333333,1274.74,33.33%,
Mirzapur,3,1,1,1,845.67,20500,281.89,845.67,33.33%,
Nagaur,3,1,1,0,982.18,15000,327.393333333333,982.18,33.33%,
Purnia,3,1,1,0,1080.45,7500,360.15,1080.45,33.33%,
Rohtak,3,1,1,0,2473.1,12000,824.366666666667,2473.1,33.33%,
Tiruppur,3,1,0,1,2144.1,26000,714.7,2144.1,33.33%,
Udupi,3,1,0,0,1213.03,10000,404.343333333333,1213.03,33.33%,
Asansol,4,1,0,0,1041.45,5000,260.3625,1041.45,25.00%,
Bhiwani,4,1,1,0,1623.43,13500,405.8575,1623.43,25.00%,
Panchkula,4,1,1,1,2106.12,11800,526.53,2106.12,25.00%,
Puducherry,4,1,0,1,1219.09,40000,304.7725,1219.09,25.00%,
